hash,human_adherence,human_readability,human_accuracy,human_overall,ai_adherence,ai_readability,ai_accuracy,ai_overall
0bace50fcac775e7214eab01c96f7fea90d48e8c_taxonomy.db,1.0,0.38846153846153847,1.0,0.7961538461538461,1.0,0.9355384615384615,0.4,0.7785128205128204
f4be61386614e6cf668d211c8f6ea7e7485b5185_taxonomy.db,1.0,0.0,0.8,0.6,1.0,0.6228461538461538,1.0,0.8742820512820512
ede0e079fb3d4fc118f23171266a1834d7ea5388_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.4458461538461539,1.0,0.8152820512820513
9c4461bcd79601c7ef7be4327ccf9e33a0260d10_taxonomy.db,1.0,0.6384615384615384,0.8,0.8128205128205129,1.0,0.5892307692307692,1.0,0.8630769230769232
44e89d4ef4fedb46e38d830901e4bab6d57457d9_taxonomy.db,1.0,0.25,0.6,0.6166666666666667,1.0,0.5954615384615385,1.0,0.8651538461538463
0a9f4759cef9ac3587654bfb83b3ef36053c1276_taxonomy.db,1.0,0.8884615384615384,0.8,0.8961538461538462,1.0,0.6449230769230769,0.6,0.7483076923076922
5306baf3f4c381e8f13bae2c5bc6329a3c506548_taxonomy.db,1.0,0.5,0.8,0.7666666666666666,1.0,0.75,1.0,0.9166666666666666
478bb88546a3ec84edbdd16f07365d8deff5ac90_taxonomy.db,0.0,1.0,1.0,0.6666666666666666,1.0,0.7162307692307692,1.0,0.9054102564102564
bbf0bd80e40c57b602d9d7373ddf15e963dede24_taxonomy.db,1.0,0.6306153846153846,0.8,0.8102051282051281,1.0,0.7204615384615385,1.0,0.9068205128205129
209cfae605b15c1272095b06804d6126bedbb01a_taxonomy.db,1.0,0.5,0.2,0.5666666666666667,1.0,0.5421538461538462,1.0,0.8473846153846155
d79b3bd1d358697b2a187b504dc9bcb24fade222_taxonomy.db,1.0,0.75,0.6,0.7833333333333333,1.0,0.6488461538461539,0.8,0.8162820512820513
7057399f63046026d210a83d2d5260dc39624a4e_taxonomy.db,0.0,0.0,1.0,0.3333333333333333,1.0,0.5186923076923077,1.0,0.8395641025641026
4708ffef9e31e08139a15824a63492c59ebf6589_taxonomy.db,0.0,0.5998461538461539,1.0,0.5332820512820513,1.0,0.6204615384615384,1.0,0.8734871794871794
9b9590a88432d3b886a2d6a69263f1e1cb5831ad_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
8b140ba5e5e96ea91f2585f4aef18549ff02fff1_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.75,0.0,0.5833333333333334
95a93b7ba95c8a4ec82c8e46ce174a8f77f17c0c_taxonomy.db,0.0,0.0,0.6,0.19999999999999998,1.0,0.4796923076923077,0.8,0.759897435897436
48e73283ca9f0d274c1ba72c4fd45b35e70488a3_taxonomy.db,1.0,0.4379230769230769,0.8,0.745974358974359,1.0,0.619923076923077,0.8,0.8066410256410257
cff0b608e601f917e26ab6293df5dbb686580b12_taxonomy.db,1.0,0.38846153846153847,0.8,0.7294871794871796,1.0,0.6775384615384615,0.8,0.8258461538461539
381dfaeb458774ae47b96a2ae8f68ead3327d5c5_taxonomy.db,1.0,0.75,0.6,0.7833333333333333,1.0,0.7477692307692307,0.8,0.8492564102564103
e4391179fbab470d93cdb9d96c051106232a7532_taxonomy.db,1.0,0.5,0.6,0.7000000000000001,1.0,0.75,0.8,0.85
0629b9edada7aa46c26b6493dd5b4a6969989eb9_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.6826923076923077,1.0,0.8942307692307692
888eab9c6f0105c45b29ab071f3cc3b65fdb5aea_taxonomy.db,1.0,0.5160769230769231,1.0,0.8386923076923077,1.0,0.5642307692307693,1.0,0.8547435897435897
1703a952fe08ced2822f5ec50e195cd30296b2f4_taxonomy.db,1.0,0.5,0.2,0.5666666666666667,1.0,0.696,0.0,0.5653333333333334
efeeedadd21c0762198d3751a7a872b70319ec4e_taxonomy.db,1.0,0.430076923076923,1.0,0.810025641025641,1.0,0.6943846153846154,1.0,0.8981282051282052
7c3b2e474cbaa9fa53c4c356dc6c9d98aadfc638_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.6644615384615384,1.0,0.8881538461538462
02d8a01cfcaca10e83913d1634e8bf8667fe156d_taxonomy.db,1.0,0.47707692307692307,1.0,0.8256923076923077,1.0,0.75,1.0,0.9166666666666666
6123f66da016590ba75209baf2f48767e46fca80_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.6280769230769231,1.0,0.876025641025641
2d022016a752132171b3a06537df404312c6e85a_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.6514615384615384,1.0,0.8838205128205128
056cc7496c11480ea18185839d7bb33911eb088a_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.71,1.0,0.9033333333333333
eeb2699feae437214841c153006685e00e4f7d95_taxonomy.db,1.0,0.75,0.6,0.7833333333333333,1.0,0.4718461538461538,1.0,0.8239487179487179
cef699ab70073f9b00d7d849775ea92d7918af2c_taxonomy.db,1.0,0.4926923076923077,0.8,0.7642307692307693,1.0,0.6503846153846153,0.6,0.7501282051282051
22c4b687112ddf9d97b756694ac2a93bcf788135_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,0.8,0.85
dc082ac899482d2b812c7eea5f03c07693979c77_taxonomy.db,1.0,0.6384615384615384,1.0,0.8794871794871795,1.0,0.5447692307692308,1.0,0.8482564102564103
2c0c5c8a8cc1f9d91fca049ac2bdd85883ee4edc_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.5681538461538462,0.0,0.5227179487179487
c618b4c58da3070c9645cb11ddcd2e4f481e4a31_taxonomy.db,1.0,0.5004615384615385,0.6,0.7001538461538462,1.0,0.5525384615384615,0.8,0.7841794871794873
68e4501f3694a293bea4398dd32f023983f85732_taxonomy.db,1.0,0.5,0.2,0.5666666666666667,1.0,0.6433846153846154,1.0,0.8811282051282051
10e1947f7e74ebf052c506e8503a296e1e3f06b1_taxonomy.db,1.0,0.75,0.4,0.7166666666666667,1.0,0.6905384615384615,0.6,0.7635128205128204
f74160fc0f62ea61a2d6f53dce2a6bd30f63700f_taxonomy.db,1.0,0.6306153846153846,0.8,0.8102051282051281,1.0,0.6644615384615384,1.0,0.8881538461538462
d90086046f298e8cd46555938c1e2b2f97b3cb9b_taxonomy.db,1.0,0.5083076923076923,1.0,0.8361025641025641,1.0,0.572076923076923,1.0,0.8573589743589743
a0819e58a2960b77354150da82dc56ec6a87cfa0_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.5786153846153845,1.0,0.8595384615384615
ff803e60476fb28f89d40a375a535a6654731f98_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.7321538461538462,0.0,0.5773846153846154
1c4afb0797613d37c91ce693122f42deaef88e33_taxonomy.db,1.0,0.5,0.8,0.7666666666666666,1.0,0.74,0.6,0.7799999999999999
e6253c6a735520cb388f53b811f401b5124af838_taxonomy.db,1.0,0.5160769230769231,1.0,0.8386923076923077,1.0,0.7006153846153846,1.0,0.9002051282051283
668769d33e41c7d3f501a853bea6d99170bc5941_taxonomy.db,1.0,0.07084615384615385,0.8,0.6236153846153846,1.0,0.5290769230769231,1.0,0.843025641025641
eb5a25820c21632cf02e010736ed102e2d57cd9f_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,0.4,0.7166666666666667
b30ac75581ef7ef040f98e549e912e3eadeffa8e_taxonomy.db,1.0,0.7113076923076923,1.0,0.9037692307692308,1.0,0.75,1.0,0.9166666666666666
42cb21fcf08e168e56be4660dd480660a0257e69_taxonomy.db,1.0,0.7373846153846153,0.8,0.8457948717948719,1.0,1.0,0.4,0.7999999999999999
61df1bec71e3f6c78a58f6b0d88169b3e888e97c_taxonomy.db,1.0,1.0,1.0,1.0,1.0,0.75,0.8,0.85
c0613a1e89ccacae22fa62bbe95779a6aec7db39_taxonomy.db,1.0,0.6384615384615384,1.0,0.8794871794871795,1.0,0.6306153846153846,1.0,0.8768717948717949
9ad43152cb9ff33ea0508fe5d0fb98872837a76a_taxonomy.db,1.0,0.5,0.8,0.7666666666666666,1.0,0.75,0.8,0.85
8f13cb81952738d3f14ae41452739444c70e6916_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.6436923076923077,1.0,0.8812307692307693
fc9a1ab8df31c8d1dd160c3dd174925d3a42160a_taxonomy.db,1.0,0.2660769230769231,0.6,0.622025641025641,1.0,0.7217692307692307,1.0,0.9072564102564101
eccfb1b027ef73a314869cd5667bd6f32e6fbf72_taxonomy.db,1.0,0.75,0.4,0.7166666666666667,1.0,0.634,0.8,0.8113333333333334
074d5814ba3d2cb298ce094f3df161518cc624c1_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.674923076923077,1.0,0.8916410256410257
219ecbbe21f1f298b4f88a41c9d94f579ee8caa8_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.5760000000000001,1.0,0.8586666666666667
ff1d728882e10907078d3895ae49d225531aa5bf_taxonomy.db,1.0,0.27392307692307694,0.4,0.557974358974359,1.0,0.5,1.0,0.8333333333333334
7f61c809e981b84d9337b01dbc81a0ef99fcad3d_taxonomy.db,1.0,0.4926923076923077,1.0,0.830897435897436,1.0,0.75,0.8,0.85
9bd5431da6e5729b307ea7e697f7cee417cde113_taxonomy.db,0.0,0.0,0.8,0.26666666666666666,1.0,0.75,1.0,0.9166666666666666
72932aed1e228054fccdff7379392a81bb2a6e4d_taxonomy.db,0.0,0.0,0.8,0.26666666666666666,1.0,0.7217692307692307,1.0,0.9072564102564101
4a83f9504dcaa118878df12e2089095a4efb0262_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.5,0.6,0.7000000000000001
a2b35e99b69afc88b1b330c4866d82d2628746cf_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.4135384615384615,1.0,0.8045128205128206
2a037e5b0ef4586a356c0696ef17a56fb9c634b1_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
11dda1eb0686ca86c27e50242c18e000eb2f8958_taxonomy.db,1.0,0.2660769230769231,0.6,0.622025641025641,1.0,0.5,0.6,0.7000000000000001
dae38145f223df5c5645a780c67e6b8cfc926f1f_taxonomy.db,1.0,0.27392307692307694,1.0,0.7579743589743589,1.0,0.6866153846153846,1.0,0.8955384615384615
6dad8867c3313e9903173715e7fd2ddcfcd17226_taxonomy.db,1.0,0.25,1.0,0.75,1.0,0.2856923076923077,0.8,0.6952307692307693
2980f245d3823f0887453991918e55eb095dcf93_taxonomy.db,1.0,0.6384615384615384,0.6,0.7461538461538462,1.0,0.75,0.8,0.85
54971bb9808833654292ef164763b6ca66bb751d_taxonomy.db,1.0,0.6384615384615384,1.0,0.8794871794871795,1.0,0.5733846153846154,1.0,0.8577948717948717
0f73a7509f5c4afe6c50b64117d1e9dacace7fdb_taxonomy.db,1.0,0.6384615384615384,0.4,0.6794871794871794,1.0,0.4106923076923077,0.6,0.6702307692307693
7788df0b6b0f14d9ae9daf5bd65554cfa4a9ac5c_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
932cd23096ee465e1a85f62ada6474fe9c7970e0_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,0.8,0.85
b918c0aa35652b7cf051237037a06393acfea7ef_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.75,1.0,0.9166666666666666
59e5bf7a2850e29129665d96bfeb00b41d31b68f_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
de31e9fc305a59313850e93a423f24e3f31dab84_taxonomy.db,1.0,0.75,0.6,0.7833333333333333,1.0,0.6593076923076924,0.8,0.8197692307692308
cc1aeb25205a1780df9f6ce9867fdabf70c7783e_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.4105384615384615,0.0,0.47017948717948715
2279b782cf91512a5ba0c6569cefbb1058a81101_taxonomy.db,1.0,0.25,0.6,0.6166666666666667,1.0,0.5296153846153846,1.0,0.8432051282051282
c7bc732b716b46154c3c20b3505423fc59e83f24_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
c2da74c6622ff44fbdc85a984d79f661f1b59299_taxonomy.db,1.0,0.4926923076923077,1.0,0.830897435897436,1.0,0.5603846153846154,1.0,0.8534615384615384
22381e5d5f23a0dea5aaaa874115e75851ccc8e4_taxonomy.db,1.0,0.7113076923076923,0.6,0.7704358974358975,1.0,0.5,1.0,0.8333333333333334
0ebfcb561f6a00e84779c16db38dfcc48963979b_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
d43f67018efebb0400adb46155c43659bc4144f1_taxonomy.db,1.0,0.5,0.6,0.7000000000000001,1.0,0.5109230769230769,0.6,0.7036410256410256
2c7dc3f1fa6b485a7df28de5a444a9d829d5ee38_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.6384615384615384,1.0,0.8794871794871795
f21f4b285576afd4ec8eb3e472afa8ede325fb19_taxonomy.db,1.0,0.5083076923076923,0.6,0.7027692307692308,1.0,0.5786153846153845,0.8,0.7928717948717949
ae7cb2f01a84a42f4512a958ee117046f39d80a3_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.6905384615384615,1.0,0.896846153846154
8706f45686fee73201de9dcc181ab421d6f9439d_taxonomy.db,1.0,0.5,0.8,0.7666666666666666,1.0,0.5384615384615384,1.0,0.8461538461538461
a9310f58b80c2ce84696aa2bb033360988de8658_taxonomy.db,1.0,0.7113076923076923,1.0,0.9037692307692308,1.0,0.75,1.0,0.9166666666666666
d4bed71bd8e40c3c0308ced30c6840460f1bfaf0_taxonomy.db,1.0,0.5004615384615385,0.8,0.7668205128205129,1.0,0.572076923076923,1.0,0.8573589743589743
84cc4595627aee01d728349146c556d18e9e5ee7_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.75,0.4,0.7166666666666667
1b87454847ba734b2474afb0ebc18d20ab672457_taxonomy.db,1.0,0.75,0.6,0.7833333333333333,1.0,0.6881538461538461,0.8,0.8293846153846154
6a44ab9c3376a8462107f86882c449d4c3de83bb_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.7282307692307692,1.0,0.9094102564102564
718ed3487f452a9f305b34fc9e8a1137894349a2_taxonomy.db,0.0,0.5686153846153846,1.0,0.5228717948717949,1.0,0.75,0.4,0.7166666666666667
fc33828afc054489a4e9192ef897640ab955e9e5_taxonomy.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
9b08f1051cb3a61c18bc4125dce3fb22b5fff275_taxonomy.db,1.0,0.4613076923076923,0.6,0.6871025641025641,1.0,0.7428461538461537,1.0,0.9142820512820512
72179e5997b681d257b97fb4089b9a3d7aa9dad2_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.7464615384615385,1.0,0.9154871794871795
468f95b03f552d1f124a9fd423006abfa79383fd_taxonomy.db,1.0,0.07084615384615385,0.8,0.6236153846153846,1.0,0.20361538461538461,1.0,0.7345384615384615
4c6d66fa672c3b3fe6c2247dfc921958885e1a6b_taxonomy.db,1.0,0.5083076923076923,0.8,0.7694358974358974,1.0,0.75,0.4,0.7166666666666667
a82ef829731b19ef569274290b62a91ddfc19263_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.75,1.0,0.9166666666666666
c5d4515629f43c289f9370c27a9a9e491c3e6e2c_taxonomy.db,1.0,0.5083076923076923,1.0,0.8361025641025641,1.0,0.25,1.0,0.75
420ad3bc3ea1bad8e031fd34b1c20811b6b67918_taxonomy.db,1.0,0.25,0.8,0.6833333333333332,1.0,0.5,0.6,0.7000000000000001
b2bb7ce2fb2584de475083e9423d855ce983109f_taxonomy.db,1.0,0.75,0.8,0.85,1.0,0.75,1.0,0.9166666666666666
dcdd36da2ad50560dac6fabf29c8d1911fb36306_resume.db,1.0,0.5,1.0,0.8333333333333334,1.0,0.3169230769230769,1.0,0.7723076923076923
eabf8d0c4a7931a0c845611dfbcf8cf8cd8ddbd7_resume.db,1.0,0.75,0.6,0.7833333333333333,1.0,0.5,1.0,0.8333333333333334
4e493afa13845cdbc559e0321b4fd435361806cc_resume.db,1.0,0.5,1.0,0.8333333333333334,1.0,0.75,0.8,0.85
5daae65d26773dfb3e123809e52db490c8a95af4_resume.db,0.0,1.0,0.6,0.5333333333333333,1.0,0.75,1.0,0.9166666666666666
0827884429031df8e2ce39252409255c3495ab58_resume.db,0.0,0.0,0.8,0.26666666666666666,1.0,0.6491538461538462,1.0,0.883051282051282
b0e88af9f2ea7211474da7666057afbf12b7dc47_resume.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.44846153846153847,1.0,0.8161538461538461
76cb9cd0591190791eb74687286930ef7a438ab6_resume.db,1.0,0.32084615384615384,1.0,0.7736153846153847,1.0,0.4718461538461538,1.0,0.8239487179487179
c59262689bf412df470f34fc818dd7ffe2eb90d0_resume.db,1.0,0.6384615384615384,1.0,0.8794871794871795,1.0,0.7139230769230769,1.0,0.9046410256410257
65e8a224ca20405dea29d4994bb470c393d4c2c1_resume.db,1.0,0.5,1.0,0.8333333333333334,1.0,0.7061538461538461,1.0,0.902051282051282
e5bee9546c761b63f0d6edcd03cd2e26d93a3dec_resume.db,1.0,0.0,0.6,0.5333333333333333,1.0,0.5,1.0,0.8333333333333334
271636e671414c2e43988fd2cda6b487a2c3ff7b_resume.db,1.0,0.5160769230769231,1.0,0.8386923076923077,1.0,0.38607692307692304,1.0,0.7953589743589743
ec1586fc96f919a1ed316851f1e5ea6ba3d30ad7_resume.db,1.0,0.5160769230769231,1.0,0.8386923076923077,1.0,0.37946153846153846,1.0,0.7931538461538462
fe14480df04f76e6434d45c762ab087df41b8473_resume.db,1.0,0.5,1.0,0.8333333333333334,1.0,0.75,1.0,0.9166666666666666
c1104cc30d606fcc914591dd82b6081fa4041100_resume.db,1.0,0.5,0.8,0.7666666666666666,1.0,0.75,1.0,0.9166666666666666
3e120d01c6e3f0441a8ccded9869430270fdf855_resume.db,1.0,0.5,1.0,0.8333333333333334,1.0,0.45099999999999996,1.0,0.8170000000000001
f82d70aedc55ad3097014bcd56621359a662d921_resume.db,1.0,0.5,1.0,0.8333333333333334,1.0,0.75,0.2,0.65
a9f578719a848d0da54c5f06a845ddcea1d018d1_resume.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.6905384615384615,1.0,0.896846153846154
48798476e6dc9d7e76200c52745d0c541496d590_resume.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.7217692307692307,0.8,0.8405897435897436
e8747909509bbfb694e61ffae72089dfb2db1eba_resume.db,1.0,0.75,0.8,0.85,1.0,0.75,1.0,0.9166666666666666
93342bcc674b9a22adeecab112ca6c20498a2dc4_resume.db,1.0,0.5,1.0,0.8333333333333334,1.0,0.75,1.0,0.9166666666666666
2f55a2fe10fa4418ab3a387e2471393b562f74d9_resume.db,1.0,0.7113076923076923,0.8,0.8371025641025641,1.0,0.25,0.8,0.6833333333333332
89daaa636ad7225dca5b5d0d6dcdf2fb27277702_resume.db,1.0,0.75,0.8,0.85,1.0,0.5736153846153846,0.8,0.7912051282051283
da520dbf4f76357036e05f3b2978c49364cbb891_resume.db,1.0,0.25,1.0,0.75,1.0,0.7217692307692307,1.0,0.9072564102564101
fa65bdd5ffcb245212bbca9bc10ad75f6dbb3add_resume.db,1.0,0.25,1.0,0.75,1.0,0.4874615384615385,1.0,0.8291538461538462
4cefb5f8b02669b285c85605da73593a26c4502d_resume.db,1.0,0.25,1.0,0.75,1.0,0.5083076923076923,1.0,0.8361025641025641
b9c4ccef3bd8bbdbc1e3bf3b44c765af4db032fc_resume.db,1.0,0.5,1.0,0.8333333333333334,1.0,0.4432307692307692,1.0,0.8144102564102563
2133070bc5e5bf990965f4c86363d8b296ea4691_resume.db,1.0,0.25,1.0,0.75,1.0,0.7243846153846154,1.0,0.9081282051282051
e6b656525214a5c5228dd663ed318ec6180e4844_resume.db,1.0,0.5,1.0,0.8333333333333334,1.0,0.7321538461538462,0.0,0.5773846153846154
8344551349c8b4f00b5c167964ae686aee3947c5_resume.db,1.0,0.7113076923076923,0.8,0.8371025641025641,1.0,0.29992307692307696,1.0,0.7666410256410257
5f1424cf8cbcb084f2c94a479419d6f73966b81b_resume.db,1.0,0.6384615384615384,0.6,0.7461538461538462,1.0,0.75,1.0,0.9166666666666666
02b4cad3b1c883e3e75bb0294af38e00de615400_resume.db,1.0,0.7451538461538462,1.0,0.9150512820512821,1.0,0.5,0.6,0.7000000000000001
e50210ca1fac4e78a32bd2e7c647fe849fb1162d_resume.db,1.0,0.7451538461538462,1.0,0.9150512820512821,1.0,0.75,1.0,0.9166666666666666
9b8bb7b47c922e4a8bbbf2beae9c00f6c0a77967_resume.db,1.0,0.7451538461538462,1.0,0.9150512820512821,1.0,0.7282307692307692,1.0,0.9094102564102564
21d9536caa7a7115d9d8cb958bd31f8a3bb839f6_resume.db,1.0,0.7451538461538462,0.8,0.8483846153846155,1.0,0.8766923076923077,0.8,0.8922307692307693
4dd2fd09e061551c45f8ffaeed13e0eb43e36726_resume.db,1.0,0.7451538461538462,1.0,0.9150512820512821,1.0,0.4403076923076923,1.0,0.8134358974358974
f81a9f885b05a2c132f84db8eabc3ae438cc8271_resume.db,1.0,0.7451538461538462,1.0,0.9150512820512821,1.0,0.75,1.0,0.9166666666666666
bc0828bd4d9f704625c1530b40ae4e498cf3578c_resume.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.7103076923076923,1.0,0.9034358974358975
903a81ffe122311f6c371c02f183b3ecb0d731ff_resume.db,1.0,0.8572307692307692,1.0,0.9524102564102565,1.0,0.7321538461538462,1.0,0.9107179487179486
8704692d4043a4ff46621cbc891057d9f7ea8f87_resume.db,1.0,0.5004615384615385,1.0,0.8334871794871795,1.0,0.40415384615384614,1.0,0.8013846153846154
9a5f8cd1b56bdcbc28f1155c93b11b0f83b11c9e_resume.db,1.0,0.75,0.8,0.85,1.0,0.7373846153846153,1.0,0.9124615384615384
4abf038f565797076050b468c5091bfa135c5688_resume.db,1.0,0.5,0.8,0.7666666666666666,1.0,0.669923076923077,1.0,0.8899743589743591
8312c7a54494e6e9b70f6d897331e8e3d7048eb4_resume.db,1.0,0.5160769230769231,1.0,0.8386923076923077,1.0,0.75,1.0,0.9166666666666666
eade5e52c6497bf4560f23327acf5b995f182387_resume.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.5,1.0,0.8333333333333334
abd997b872b658c8707b21ec7f428dbc4cf06592_resume.db,1.0,0.4379230769230769,1.0,0.8126410256410256,1.0,0.5564615384615386,1.0,0.8521538461538462
f43ab41b76506be0cebf083be1093c70d0a9bf83_resume.db,1.0,0.75,0.8,0.85,1.0,0.75,0.4,0.7166666666666667
750eb8b590edfab1422ae8bd0d68e44383bce6ee_resume.db,1.0,0.75,0.8,0.85,1.0,0.7412307692307692,1.0,0.9137435897435897
ffc18809d3412fd0c8b413035d3d31c057b7401c_resume.db,1.0,0.75,0.8,0.85,1.0,0.75,0.6,0.7833333333333333
5a53007660af72be3aeadffff25bc1aaf7936e18_resume.db,0.0,0.5321538461538462,0.8,0.4440512820512821,1.0,0.5408461538461539,1.0,0.846948717948718
4e436a1023ffe59f825b6a1a71e446c87086be4f_resume.db,1.0,0.75,0.8,0.85,1.0,0.75,1.0,0.9166666666666666
9b395c4292f02d8922eb70660cc4f356ba765153_resume.db,1.0,0.5,0.8,0.7666666666666666,1.0,0.75,1.0,0.9166666666666666
055c46510ec58d3a507800628fd64d959cf7e482_resume.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
fc0315a4064ea69563d9d5c2dc13aa2ab0f9d389_resume.db,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,1.0,0.9166666666666666
109fc76f7d17e5ccf6f56d9f7a6f117097a90d66_resume.db,1.0,0.5160769230769231,0.6,0.7053589743589743,1.0,0.7321538461538462,1.0,0.9107179487179486
3c3daa21a25c1621d92960052be9e6e3df39da65_resume.db,1.0,0.6306153846153846,1.0,0.8768717948717949,1.0,0.7076923076923076,1.0,0.9025641025641026
eb300f773911669804521aca695469e6060fbd29_resume.db,0.0,0.5321538461538462,1.0,0.5107179487179487,1.0,0.74,1.0,0.9133333333333334
